,Ponderation,Plane,3D,Injection ,Saturation,b (DWI),Observation,
Sag Cube T2 1mm,T2,Sag,3D,,,,,
Sag CUBE T2 pelvis,T2,Sag,3D,,,,,
SAG DIFF B1000,DWI,Sag,,,,1000,,
SAG DIFF B1400,DWI,Sag,,,,1400,,
SAG DWI b1200,DWI,Sag,,,,1200,,
Sag DWI b1200,DWI,Sag,,,,1200,,
SAG DYN LAVA 10 SEC,T1,Sag,3D,1,,,perf,
Sag DYN LAVA 5SEC,T1,Sag,3D,1,,,perf,
SAG FSE T1 GADO,T1,Sag,,1,,,,
Sag LAVA Dyn Gado,T1,Sag,3D,1,,,perf,
SAG LAVA FLEX TARDIF,T1,Sag,3D,1,,,,
Sag LAVA Tardif,T1,Sag,3D,1,,,,
Sag LAVA tardif hr,T1,Sag,3D,1,,,,
SAG Perfusion 3Dfspgr 54c,T1,Sag,3D,1,,,perf,
SAG rep FIESTA,,,,,,,loc,
SAG T1 FSE,T1,Sag,,,,,,
Sag T1 FSE,T1,Sag,,,,,,
Sag T1 FSPGR Apnee,T1,Sag,,,,,,
Sag T1 FSPGR Apnee gado,T1,Sag,,1,,,,
Sag T1 FSPGR Apnee GADO,T1,Sag,,1,,,,
Sag T1 FSPGR FS Apnee,T1,Sag,,,1,,,
Sag T1 FSPGR FS Apnee gado,T1,Sag,,1,1,,,
Sag T1 FSPGR FS Apnee GADO,T1,Sag,,1,1,,,
Sag T1 FSPGR FS GADO,T1,Sag,,1,1,,,
Sag T1 FSPGR FS Gado Apnee,T1,Sag,,1,1,,,
Sag T1 SE BAS,T1,Sag,,,,,,
Sag T1 SE BAS FS,T1,Sag,,,1,,,
Sag T1 SE BASFS GADO,T1,Sag,,1,,,,
SAG T2,T2,Sag,,,,,,
Sag T2,T2,Sag,,,,,,
SAG T2 4 MM NEW,T2,Sag,,,,,,
Sag T2 4mm,T2,Sag,,,,,,
Sag T2 4mm NEW,T2,Sag,,,,,,
SAG T2 4mm NEW,T2,Sag,,,,,,
Sag T2 BAS,T2,Sag,,,,,,
Sag T2 FRFSE,T2,Sag,,,,,,
Sag T2 FRFSE rapide,T2,Sag,,,,,,
Sag T2 FS BAS,T2,Sag,,,,,,
Sag T2 FSE.XL,T2,Sag,,,,,,
Sag T2 NEW,T2,Sag,,,,,,
Sag T2 new 3mm,T2,Sag,,,,,,
Sag T2 new 3mm arc,T2,Sag,,,,,,
Sag T2 PELVIS,T2,Sag,,,,,,
Sag T2 PROPELLER,T2,Sag,,,,,,
SAG T2 PROPELLER,T2,Sag,,,,,,
SAG T2 PROPELLER GAUCHE,T2,Sag,,,,,,
Sag T2 rapide 4mm,T2,Sag,,,,,,
Sag T2 SSFSE m-phase,T2,Sag,,,,,,
Screen Save,,,,,,,screenshot,
SCREENSAVE,,,,,,,screenshot,
SEGMENTATION_OLEA_COMPUTED,,,,,,,screenshot,
SEQUENCE URTERE,,,,,,,,
st1 spir SENSE SHORT,T1,,,,1,,,
SURFACE_SEGMENTATION_OLEA_COMPUTED,,,,,,,screenshot,
survey,,,,,,,loc,
survey XL TORSO,,,,,,,loc,
surveyCARDIA,,,,,,,loc,
T1 AX PERF A UTILISER (DCE) 14.3s 20 MESURES 15.6 CM,T1,Ax,,1,,,perf,
T1 spir AX,T1,Ax,,,1,,,
T1 spir AX GADO,T1,Ax,,1,1,,,
T1 TSE,T1,,,,,,,
T1 TSE AX,T1,Ax,,,,,,
T1 TSE AX FS,T1,Ax,,,1,,,
T1 TSE AX FS GADO,T1,Ax,,1,1,,,
T1 TSE CORO FS,T1,Cor,,,1,,,
T1 TSE CORO FS_FIL,T1,Cor,,,1,,,
T1 TSE FS CORO PAT AP_ORIG,T1,Cor,,,1,,,
T1 TSE FS SAG PAT AP_ORIG,T1,Sag,,,1,,,
T1 TSE SAG FS,T1,Sag,,,1,,,
T1 TSE SAG FS_FIL,T1,Sag,,,1,,,
T1 TSE SPIR,T1,,,,1,,,
T1 TSE TRA,T1,,,,,,,
T1 TSE TRA FS,T1,,,,1,,,
T1 TSE TRA FS_FIL,T1,,,,1,,,
T1 TSE TRA PAT FS_ORIG,T1,,,,1,,,
T1 TSE TRA PAT_ORIG,T1,,,,,,,
T1 TSE TRA_FIL,T1,,,,,,,
t2 50 coupes,T2,,,,,,,
t2 AX 6,T2,Ax,,,,,,
t2 hr 3mm Sag,T2,Sag,,,,,,
t2 hr 4mm Sag flip160,T2,Sag,,,,,,
T2 AX,T2,Ax,,,,,,
T2 AX_FIL,T2,Ax,,,,,,
T2 CORO,T2,Cor,,,,,,
T2 CORO BLADE,T2,Cor,,,,,,
T2 CORO BLADE_FIL,T2,Cor,,,,,,
T2 CORO_FIL,T2,Cor,,,,,,
t2 hr 3mm AX OBLIQUE,T2,Ax,,,,,,
T2 SAG BLADE,T2,Sag,,,,,,
T2 SAG BLADE_FIL,T2,Sag,,,,,,
t2 SAG TE110,T2,Sag,,,,,,
T2 TRA BLADE,T2,,,,,,,
T2 TRA BLADE_FIL,T2,,,,,,,
T2 TRA BLADE_FIL_1,T2,,,,,,,
T2 TRA TE110,T2,,,,,,,
T2 TSE 3mm AX,T2,Ax,,,,,,
T2 TSE AX 50 COUPES,T2,Ax,,,,,,
T2 TSE AX 5mm,T2,Ax,,,,,,
T2 TSE CORO 4.5mm_ORIG,T2,Cor,,,,,,
T2 TSE SAG,T2,Sag,,,,,,
T2 TSE SAG# PFOV PAT_ORIG,T2,Sag,,,,,,
T2 TSE SAG_FIL,T2,Sag,,,,,,
T2 TSE TRA 4.5mm_ORIG,T2,,,,,,,
Time to Peak -,,,,,,,screenshot,
WATER 3D T1 gADO,T1,,3D,1,1,,,
WATER 3D T1 gado,T1,,3D,1,1,,,
WATER 3D T1 gd ch,T1,,3D,,1,,,
WATER 3D T1 gd ch GA,T1,,3D,1,1,,,
WATER 3D T1 gd ch gado,T1,,3D,1,1,,,
WATER 3D T1 gd ch GADO,T1,,3D,1,1,,,
WATER 3D T1 gd ch,T1,,3D,,1,,,
WATER 3D T1 gd ch GADO,T1,,3D,1,1,,,
WATER 3D T1 gd ch gado,T1,,3D,1,1,,,
WATER 3D T1 pt chp,T1,,3D,,1,,,
WATER 3D T1 pt chp GADO,T1,,3D,1,1,,,
